2026-03-10T18:55:42.181204,14.77,39.9,86.0,986.5,0.5
2026-03-10T18:56:00.975254,12.87,39.8,85.8,986.6,29.2
2026-03-10T19:01:40.318952,16.0,40.0,84.5,986.4,0.0
2026-03-10T19:02:00.988185,14.92,39.9,84.5,986.4,23.4
2026-03-10T19:02:55.794666,17.01,40.0,85.1,986.3,0.0
2026-03-10T19:03:00.380957,16.25,40.0,85.0,986.4,0.0
2026-03-10T19:04:00.339033,14.7,39.9,83.5,986.3,23.4
2026-03-10T19:11:08.314479,17.76,39.6,83.0,986.3,0.0
2026-03-10T19:12:01.984685,17.62,39.6,83.1,986.2,0.0
2026-03-10T19:13:02.097446,17.47,39.6,82.6,986.3,0.0
2026-03-10T19:14:00.077141,16.79,39.8,82.2,986.2,0.0
2026-03-10T19:30:32.104957,17.22,39.9,79.9,986.4,0.0
2026-03-10T19:31:01.922976,16.47,39.9,80.4,986.3,0.0
2026-03-10T19:32:13.396399,17.15,40.0,79.4,986.1,1.4
2026-03-10T19:33:01.649731,16.68,40.0,79.1,986.2,0.0
